ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
13 Sep 2024 14:27:47.268,30567.10263041603,71285.26794542558,147654063.3396734,-22346300.53594807,-9651929.23582851,147656432.5114883,-22340109.41220197,-9653440.647255102,-969725.0520640016,-621069.0064214021,-238100.6213525031,0,0,0
13 Sep 2024 14:29:18.766,30567.1036894184,71376.76574990619,147654919.0260248,-22343855.29115034,-9650344.912768489,147656816.8909234,-22337650.32535947,-9652374.720333232,-969724.0098976195,-621069.6995983869,-238100.9386433344,0,0,0
13 Sep 2024 14:30:50.271,30567.10474850895,71468.27117322246,147655794.8865801,-22341343.94691306,-9648782.06981834,147657201.2540135,-22335191.02691153,-9651308.701715812,-969722.9676436782,-621070.3928316534,-238101.2559599765,0,0,0
13 Sep 2024 14:32:21.789,30567.10580774411,71559.78909112746,147656685.7506184,-22338766.91626794,-9647245.916311942,147657585.6212232,-22332731.38581599,-9650242.534600737,-969721.9252465665,-621071.086158134,-238101.5733193383,0,0,0
13 Sep 2024 14:33:53.323,30567.10686716244,71651.32283511339,147657586.2744487,-22336125.34162208,-9645741.405596655,147657970.0065218,-22330271.31253308,-9649176.180175697,-969720.8826682866,-621071.7796030641,-238101.8907329738,0,0,0
13 Sep 2024 14:35:24.874,30567.10792677952,71742.8737504757,147658490.9922307,-22333421.09971782,-9644273.187516775,147658354.4155325,-22327810.77090353,-9648109.622766955,-969719.8398936391,-621072.4731766358,-238102.2082055416,0,0,0
13 Sep 2024 14:36:56.445,30567.10898662843,71834.44469659589,147659394.4078297,-22330656.68053747,-9642845.501774952,147658738.8602318,-22325349.68407462,-9647042.829061598,-969718.7968899608,-621073.1669005081,-238102.5257469658,0,0,0
13 Sep 2024 14:38:28.036,30567.11004671259,71926.03596767876,147660291.0126247,-22327835.2816417,-9641462.197510643,147659123.3418227,-22322888.04413547,-9645975.795630559,-969717.7536539733,-621073.8607769236,-238102.8433582559,0,0,0
13 Sep 2024 14:39:59.648,30567.11110703876,72017.64814867638,147661175.371902,-22324960.69104896,-9640126.64598315,147659507.8627281,-22320425.83536086,-9644908.515657531,-969716.7101789117,-621074.554810293,-238103.161041446,0,0,0
13 Sep 2024 14:41:31.281,30567.11216760548,72109.28111354588,147662042.1725647,-22322037.27783835,-9638841.719859602,147659892.4223856,-22317963.06113448,-9643840.990609242,-969715.6664663255,-621075.2489996701,-238103.4787960984,0,0,0
13 Sep 2024 14:43:02.933,30567.11322839236,72200.93309988733,147662886.2713574,-22319069.97758087,-9637609.773494354,147660277.0133672,-22315499.7688198,-9642773.241016094,-969714.6225361526,-621075.9433316998,-238103.7966160998,0,0,0
13 Sep 2024 14:44:34.602,30567.11428937251,72292.60178518016,147663702.7608328,-22316064.20824726,-9636432.600201827,147660661.6258987,-22313036.02083503,-9641705.293934166,-969713.5784150362,-621076.6377887949,-238104.1144933999,0,0,0
13 Sep 2024 14:46:06.285,30567.11535051756,72384.28471771767,147664487.0260574,-22313025.79943598,-9635311.406820975,147661046.2496689,-22310571.88307115,-9640637.177924879,-969712.5341306925,-621077.3323523588,-238104.4324194901,0,0,0
13 Sep 2024 14:47:37.979,30567.1164117896,72475.97862132825,147665234.788482,-22309960.95409057,-9634246.808749726,147661430.8709122,-22308107.44358737,-9639568.93115877,-969711.489720583,-621078.0269976035,-238104.750383012,0,0,0
13 Sep 2024 14:49:09.683,30567.11747317949,72567.68270832254,147665942.1781363,-22306876.07213011,-9633238.785876615,147661815.4863104,-22305642.72353577,-9638500.562804522,-969710.4451936483,-621078.7217185348,-238105.0683812369,0,0,0
13 Sep 2024 14:50:41.392,30567.11853462823,72659.39187915064,147666605.7216725,-22303777.91040698,-9632286.758993119,147662200.0744619,-22303177.85998389,-9637432.13227604,-969709.4006079137,-621079.4164765291,-238105.3863964807,0,0,0
13 Sep 2024 14:52:13.104,30567.11959611055,72751.10395179363,147667222.4368287,-22300673.26932489,-9631389.514820602,147662584.6262099,-22300712.91157765,-9636363.66499424,-969708.3559883237,-621080.1112550646,-238105.7044211738,0,0,0
13 Sep 2024 14:53:44.815,30567.12065758195,72842.81508084387,147667789.8301648,-22297569.0743852,-9630545.268578038,147662969.1254286,-22298247.98167077,-9635295.205759276,-969707.311378628,-621080.8060249984,-238106.0224419832,0,0,0
13 Sep 2024 14:55:16.523,30567.12171902108,72934.52342154924,147668305.9481819,-22294472.17899699,-9629751.647903712,147663353.5643872,-22295783.11984605,-9634226.776063528,-969706.2667998075,-621081.5007723607,-238106.3404525127,0,0,0
13 Sep 2024 14:56:48.227,30567.12278040084,73026.22663252987,147668769.3811992,-22291389.37593791,-9629005.74332088,147663737.9332764,-22293318.38903486,-9633158.403185492,-969705.2222785354,-621082.1954794079,-238106.658444643,0,0,0
13 Sep 2024 14:58:19.923,30567.12384169909,73117.92280145455,147669179.2841842,-22288327.29382893,-9628304.131218735,147664122.2240907,-22290853.84063758,-9632090.109405393,-969704.1778366864,-621082.8901316635,-238106.9764117412,0,0,0
13 Sep 2024 14:59:51.611,30567.12490290966,73209.6113946056,147669535.3884751,-22285292.29543376,-9627642.904907415,147664506.4346046,-22288389.48900153,-9631021.900942277,-969703.1334802806,-621083.5847250707,-238107.2943519577,0,0,0
13 Sep 2024 15:01:23.292,30567.12596402303,73301.29159003263,147669837.9961683,-22282290.46585125,-9627017.730150385,147664890.5613866,-22285925.3562212,-9629953.787373303,-969702.0892186463,-621084.2792534158,-238107.6122624446,0,0,0
13 Sep 2024 15:02:54.964,30567.1270250476,73392.96411318937,147670087.9827193,-22279327.48791279,-9626423.879211958,147665274.6074888,-22283461.42280081,-9628885.760247741,-969701.0450435877,-621084.9737221897,-238107.9301457163,0,0,0
13 Sep 2024 15:04:26.631,30567.12808600486,73484.6308201435,147670286.7829813,-22276408.5976033,-9625856.286003945,147665658.5806975,-22280997.63885608,-9627817.79794253,-969700.0009338856,-621085.6681454554,-238108.2480082065,0,0,0
